Designator,Mid X,Mid Y,Layer,Rotation
C415,24.398398999999998mm,6.674999mm,Bottom,0.0
C414,23.423399mm,16.184998999999998mm,Bottom,180.0
U411,21.997199000000002mm,11.324999mm,Bottom,90.0
D410,14.874998999999999mm,20.341799mm,Bottom,180.0
R411,14.973399mm,23.241799mm,Bottom,270.0
D417,17.623399mm,23.474998999999997mm,Bottom,180.0
C410,22.867998999999998mm,21.534999mm,Bottom,180.0
D412,18.524999mm,24.091799mm,Top,180.0
R410,15.748399mm,24.124999000000003mm,Top,0.0
D413,18.524999mm,22.466799mm,Top,180.0
C411,17.598399mm,21.674999mm,Bottom,0.0
R413,17.598399mm,20.141799mm,Bottom,0.0
D414,15.074999mm,21.674999mm,Bottom,0.0
D418,18.804999mm,16.474999mm,Top,0.0
D416,23.676599mm,20.568699000000002mm,Top,180.0
U410,23.273398999999998mm,23.174999mm,Top,180.0
C412,22.867998999999998mm,23.574999mm,Bottom,180.0
C413,20.898398999999998mm,22.737899mm,Top,90.0
D411,15.223399mm,21.666499mm,Top,0.0
U420,16.138399mm,12.566799mm,Bottom,180.0
R420,20.248399mm,20.991898999999997mm,Bottom,90.0
C429,18.433399mm,7.974999mm,Bottom,0.0
C427,19.154699mm,21.176899mm,Bottom,270.0
C428,16.244298999999998mm,7.974999mm,Bottom,180.0
C423,17.071599mm,18.066799mm,Bottom,90.0
C421,18.263199mm,18.066799mm,Bottom,90.0
C422,19.454698999999998mm,18.066799mm,Bottom,90.0
C424,15.874998999999999mm,18.066799mm,Bottom,270.0
R421,19.629699mm,16.304999000000002mm,Bottom,0.0
R423,16.344299mm,6.974999mm,Bottom,180.0
D420,17.874999mm,5.974999mm,Top,0.0
C420,14.824999mm,18.474999mm,Bottom,270.0
L420,22.774999mm,18.374999000000003mm,Bottom,180.0
D421,23.124999mm,8.014199mm,Top,270.0
L421,17.374999mm,10.574999mm,Top,0.0
